,SIMPAR,ref,ouverture,cloture
2020-06-29,,"38,800",,
2020-06-30,,"38,800",,
2020-07-01,,"38,800",,
2020-07-02,,"38,800",,
2020-07-03,,"38,800",,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,"38,800",,
2020-07-07,,"38,800",,
2020-07-08,,"38,800",,
2020-07-09,,"38,800",,
2020-07-10,,"38,800",,
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,"38,800",,
2020-07-14,,"38,800",,
2020-07-15,,"38,800",,
2020-07-16,,"38,800","39,800","39,800"
2020-07-17,,"39,800","39,800","39,800"
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,"39,800",,
2020-07-21,,"39,800",,
2020-07-22,,"39,800",,
2020-07-23,,"39,800",,
2020-07-24,,"39,800",,
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,"39,800",,
2020-07-28,,"39,800",,
2020-07-29,,"39,800",,
2020-07-30,,"39,800",,
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,"39,800",,
2020-08-04,,"39,800",,
2020-08-05,,"39,800",,
2020-08-06,,"39,800",,
2020-08-07,,"39,800",,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,"39,800",,
2020-08-11,,"39,800",,
2020-08-12,,"39,800",,
2020-08-13,,,,
2020-08-14,,"39,800",,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,"39,800",,
2020-08-18,,"39,800",,
2020-08-19,,"39,800",,
2020-08-20,,,,
2020-08-21,,"39,800",,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,"39,800",,
2020-08-25,,"39,800",,
2020-08-26,,"39,800",,
2020-08-27,,"39,800",,
2020-08-28,,"39,800",,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,"39,800",,
2020-09-01,,"39,800",,
2020-09-02,,"39,800",,
2020-09-03,,"39,800",,
2020-09-04,,"39,800",,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,"39,800",,
2020-09-08,,"39,800",,
2020-09-09,,"39,800",,
2020-09-10,,"39,800",,
2020-09-11,,"39,800",,
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,"39,800",,
2020-09-15,,"39,800",,
2020-09-16,,"39,800",,
2020-09-17,,"39,800",,
2020-09-18,,"39,800",,
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,"39,800",,
2020-09-22,,"39,800",,
2020-09-23,,"39,800",,
2020-09-24,,"39,800",,
2020-09-25,,"39,800",,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
